pfaf_id,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration
111011,0.0,0.0,0.0,0.0,0
111012,0.0,0.0,0.0,0.0,0
111013,0.0,0.0,0.0,0.0,0
111014,0.0,0.0,0.0,0.0,0
111015,0.0,0.0,0.0,0.0,0
111016,0.0,0.0,0.0,0.0,0
111017,0.0,0.0,0.0,0.0,0
111018,0.0,0.0,0.0,0.0,0
111019,0.0,0.0,0.0,0.0,0
111020,0.0,0.0,0.0,0.0,0
111030,0.0,0.0,0.0,0.0,0
111041,0.0,0.0,0.0,0.0,0
111042,0.0,0.0,0.0,0.0,0
111043,0.0,0.0,0.0,0.0,0
111044,0.0,0.0,0.0,0.0,0
111045,0.0,0.0,0.0,0.0,0
111046,0.0,0.0,0.0,0.0,0
111047,0.0,0.0,0.0,0.0,0
111048,0.0,0.0,0.0,0.0,0
111049,0.0,0.0,0.0,0.0,0
111050,0.0,0.0,0.0,0.0,0
111060,0.0,0.0,0.0,0.0,0
111070,0.0,0.0,0.0,0.0,0
111081,0.0,0.0,0.0,0.0,0
111082,0.0,0.0,0.0,0.0,0
111083,0.0,0.0,0.0,0.0,0
111084,0.0,0.0,0.0,0.0,0
111085,0.0,0.0,0.0,0.0,0
111086,0.0,0.0,0.0,0.0,0
111087,0.0,0.0,0.0,0.0,0
111088,0.0,0.0,0.0,0.0,0
111089,0.0,0.0,0.0,0.0,0
111090,0.0,0.0,0.0,0.0,0
111091,0.0,0.0,0.0,0.0,0
111092,0.0,0.0,0.0,0.0,0
111093,0.0,0.0,0.0,0.0,0
111094,0.0,0.0,0.0,0.0,0
111095,0.0,0.0,0.0,0.0,0
111096,0.0,0.0,0.0,0.0,0
111097,0.0,0.0,0.0,0.0,0
111098,0.0,0.0,0.0,0.0,0
111099,0.0,0.0,0.0,0.0,0
112011,0.0,0.0,0.0,0.0,0
112012,0.0,0.0,0.0,0.0,0
112013,0.0,0.0,0.0,0.0,0
112014,0.0,0.0,0.0,0.0,0
112015,0.0,0.0,0.0,0.0,0
112016,0.0,0.0,0.0,0.0,0
112017,0.0,0.0,0.0,0.0,0
112018,0.0,0.0,0.0,0.0,0
112019,0.0,0.0,0.0,0.0,0
112020,0.0,0.0,0.0,0.0,0
112030,0.0,0.0,0.0,0.0,0
112041,0.0,0.0,0.0,0.0,0
112042,0.0,0.0,0.0,0.0,0
112043,0.0,0.0,0.0,0.0,0
112044,0.0,0.0,0.0,0.0,0
112045,0.0,0.0,0.0,0.0,0
112046,0.0,0.0,0.0,0.0,0
112047,0.0,0.0,0.0,0.0,0
112048,0.0,0.0,0.0,0.0,0
112049,0.0,0.0,0.0,0.0,0
112050,0.0,0.0,0.0,0.0,0
112060,0.0,0.0,0.0,0.0,0
112070,0.0,0.0,0.0,0.0,0
112111,0.0,0.0,0.0,0.0,0
112112,0.0,0.0,0.0,0.0,0
112113,0.0,0.0,0.0,0.0,0
112114,0.0,0.0,0.0,0.0,0
